,,,,,Quantity, Delta ,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol,,,,,,,
Bouchra,Crypto,ETH,RelativeValue,ETH,1155.948324,3990925,3452.511936,-35.93101557,-1.030001524,-41534.39722,0,0,-10026.42515,-41534.39722,3990925.385,0,0,0,0,0,,,,,,,
Bouchra,Crypto,ETHFI,,,-136706.93,-341767,2.5,-0.06,-2.34375,8202.4158,0,0,-79687.83577,8202.4158,-341767.325,0,0,0,0,0,,,,,,,
Bouchra,Crypto,ETHFI,RelativeValue,,-136706.93,-341767,2.5,-0.06,-2.34375,8202.4158,0,0,-79687.83577,8202.4158,-341767.325,0,0,0,0,0,,,,,,,
Bouchra,Crypto,ETHFI,RelativeValue,ETHFI,-136706.93,-341767,2.5,-0.06,-2.34375,8202.4158,0,0,-79687.83577,8202.4158,-341767.325,0,0,0,0,0,,,,,,,
Bouchra,Crypto,SEI,,,-1524778,-613490,0.402347,-0.010136,-2.457313392,15455.14981,0,0,-93595.05153,15455.14981,-613489.854,0,0,0,0,0,,,,,,,
Bouchra,Crypto,SEI,RelativeValue,,-1524778,-613490,0.402347,-0.010136,-2.457313392,15455.14981,0,0,-93595.05153,15455.14981,-613489.854,0,0,0,0,0,,,,,,,
Bouchra,Crypto,SEI,RelativeValue,SEI,-1524778,-613490,0.402347,-0.010136,-2.457313392,15455.14981,0,0,-93595.05153,15455.14981,-613489.854,0,0,0,0,0,,,,,,,
Bouchra,Crypto,SOL,,,22357.40997,4022089,179.8996065,-2.699445463,-1.478345826,-60352.6089,0,0,659599.1758,-60352.6089,4022089.256,0,0,0,0,0,,,,,,,
Bouchra,Crypto,SOL,Core,,22357.40997,4022089,179.8996065,-2.699445463,-1.478345826,-60352.6089,0,0,659599.1758,-60352.6089,4022089.256,0,0,0,0,0,,,,,,,
Bouchra,Crypto,SOL,Core,SOL,22357.40997,4022089,179.8996065,-2.699445463,-1.478345826,-60352.6089,0,0,659599.1758,-60352.6089,4022089.256,0,0,0,0,0,,,,,,,
